Date,Close,High,Low,Open,Volume
2010-05-18,193.4628448486328,195.53723948899935,190.1783602906456,194.1049161502883,2251296
2010-05-19,183.68350219726562,193.83327201562665,182.0042260568917,191.46251592968366,3667064
2010-05-20,185.1034698486328,188.40029880122472,183.23897920684342,185.21460162416787,1823124
2010-05-21,182.8068084716797,187.63473265147425,179.0531229326078,181.7572590816025,3453724
2010-05-24,182.86854553222656,187.41248301008892,182.01655537102707,186.2024082799444,1588872
2010-05-25,179.13958740234375,182.00423417709484,176.07736630701305,182.00423417709484,2807692
2010-05-26,183.58470153808594,186.32587134989825,177.0157485873046,180.2755282775689,2468984
2010-05-27,186.6222381591797,187.43717940289253,181.09048928602053,184.72069854198105,2010356
2010-05-28,187.5359649658203,188.91889463599531,185.49860433739292,188.0298705727118,4396880
2010-05-31,187.32603454589844,188.61019205958794,184.81947278839493,188.61019205958794,1370700
2010-06-01,186.59751892089844,192.79604288814426,184.23912283107464,188.67192835073408,3165872
2010-06-02,186.28883361816406,187.61004010615244,183.23897264967914,187.61004010615244,1354644
2010-06-03,187.572998046875,191.005648029329,186.59753146284214,188.1780354273108,1064540
2010-06-04,185.74554443359375,188.3755825666827,184.96763712683676,187.57298601039136,1378936
2010-06-07,186.30120849609375,187.19023259539372,179.8063374441057,180.27555381878287,1587836
2010-06-08,182.72035217285156,188.3138231131632,181.7078368186034,187.38775026813147,1514444
2010-06-09,182.47344970703125,185.21462005471935,181.70788690045578,182.72040253377088,1041092
2010-06-10,183.7576141357422,184.38735597683944,180.95470524903183,182.49816059916003,1727304
2010-06-11,187.5236053466797,189.28932392118438,183.97983864485633,186.15302030153697,2193864
2010-06-14,190.15362548828125,190.64753100903002,187.52357256117386,188.17800340528612,1460336
2010-06-15,190.3141632080078,191.3760571322255,188.6719212154284,191.0673661616505,1091872
2010-06-16,188.857177734375,191.46252708999734,187.41250970040943,190.89453859257517,1585132
2010-06-17,190.84512329101562,191.6230306501867,185.98015005360327,187.6223922239409,2272648
2010-06-18,190.90682983398438,192.62315454610268,188.98060130308343,191.14143797267113,1521880
2010-06-21,195.93235778808594,197.3646810152723,191.88232583402532,191.88232583402532,2633552
2010-06-22,195.9199676513672,199.290878880889,194.4135618326888,195.0432883610609,4114848
2010-06-23,193.63568115234375,198.51299886925986,192.87013351450574,192.99360991240235,1993840
2010-06-24,186.7209930419922,191.3884066659337,185.21458709606486,191.3884066659337,75131932
2010-06-25,185.38748168945312,188.5361300884206,184.9676588883634,187.36310421429548,2913956
2010-06-28,188.41265869140625,189.41281460664584,185.21461662970583,185.21461662970583,3390936
2010-06-29,183.8686981201172,189.16583851878727,183.14018436974678,189.16583851878727,2764944
2010-06-30,190.60585021972656,191.2115790638484,183.94286311444358,183.94286311444358,9502280
2010-07-01,190.40806579589844,191.9532847448036,187.0333015754781,190.34625703794225,2713920
2010-07-02,187.7626495361328,191.82966886228684,187.08275319282535,190.91489621874013,1783536
2010-07-05,188.66506958007812,189.1348222334021,185.73534013443572,188.14588198643006,1044516
2010-07-06,189.27078247070312,190.247363899891,187.16928462385573,188.88757117546035,1329164
2010-07-07,185.79713439941406,189.60456008911976,184.21482409173728,189.60456008911976,1421560
2010-07-08,187.91098022460938,189.13479663259068,186.83551388761197,187.8986214912012,1360468
2010-07-09,188.78866577148438,191.05087236673978,187.14456185075076,188.14586071962339,1472156
2010-07-12,187.86155700683594,190.76656900361615,187.42889564561335,189.25844115193829,2353408
2010-07-13,188.2200164794922,188.93700406882368,185.94545129233254,187.65137895520928,2268792
2010-07-14,186.63775634765625,191.137422452439,185.92076862413066,188.66507180584154,3576552
2010-07-15,188.08404541015625,189.75288183016093,186.2668740110514,187.4041490908951,3965308
2010-07-16,193.69631958007812,194.27731596147692,188.26950674837926,188.64035935523754,4671292
2010-07-19,195.8719940185547,197.04636065987765,192.8433642593533,194.07953967127222,4713308
2010-07-20,193.39959716796875,197.1699312770279,191.21157324560804,195.83485611387434,2425916
2010-07-21,194.067138671875,195.43929006227614,188.4054504822568,195.43929006227614,9497096
2010-07-22,190.2473602294922,195.3156784682246,188.57852373625101,195.3156784682246,6330960
2010-07-23,190.30917358398438,192.34886268053242,189.15952460264552,192.34886268053242,3265352
2010-07-26,188.8134002685547,191.58243569353462,188.19531267771222,191.58243569353462,1583784
2010-07-27,189.59219360351562,191.03852771183531,188.39310963724336,190.37099005338237,1932468
2010-07-28,189.28314208984375,191.29811371784314,187.93572318317618,190.56876732605033,1596828
2010-07-29,189.11007690429688,190.60584578948524,188.24475431567222,189.82704942371168,3135452
2010-07-30,190.6800079345703,193.07819063097503,188.64031903283907,188.64031903283907,2334996
2010-08-02,193.69631958007812,194.82123613620863,190.97673379645084,191.85441528134248,2894808
2010-08-03,198.10943603515625,199.25908501587938,193.62212907917154,194.8212129962458,4976624
2010-08-04,203.77113342285156,204.33977102597046,198.08472721160254,199.03657612834309,6189572
2010-08-05,203.857666015625,207.54147445125045,202.75746697894246,203.96892481080064,6057660
2010-08-06,200.6436004638672,204.46338497875558,199.85244529116713,202.73273964036224,2055156
2010-08-09,203.53623962402344,203.72166589759527,200.33454294901057,200.8042955447374,1488476
2010-08-10,200.13674926757812,207.41782364559631,199.0736416965157,204.33974461970763,2889788
2010-08-11,200.02549743652344,201.9910189374579,197.56550587699053,199.51866864446578,2915356
2010-08-12,198.69044494628906,201.87976789244894,196.82380833152618,200.02550510164812,2538080
2010-08-13,205.03199768066406,205.94677026647994,199.51865978997517,199.76589480830228,4207544
2010-08-16,205.1309051513672,209.1361156112922,203.91944748168882,205.69954269610312,4678732
2010-08-17,206.0086212158203,208.81473321257064,203.47446175892003,206.4041912901533,3050904
2010-08-18,207.8010711669922,208.8765376587329,204.970226667889,207.40550110084246,2207032
2010-08-19,212.3872833251953,213.61109993658823,206.20640659091902,208.6663985491672,4374752
2010-08-20,213.28964233398438,214.84721985114837,210.64422475624673,211.37357104072038,3611344
2010-08-23,214.68655395507812,216.00927055323436,212.62214728201482,212.9435498354816,1469916
2010-08-24,212.1400146484375,217.07235651901075,210.73077195826963,215.09447627737967,3366900
2010-08-25,207.3931121826172,213.11660953025955,206.58959828357618,212.1276693468245,2542060
2010-08-26,207.6527099609375,209.3091726076869,204.47573073733417,209.09902886594372,4352488
2010-08-27,207.2571563720703,209.45755453330247,205.7861046860801,206.4412836582535,2001812
2010-08-30,209.27210998535156,212.59742440829675,207.67744090326696,209.6182299995058,1615532
2010-08-31,204.84658813476562,209.90254769018523,202.37423774972223,209.60586262597417,2193716
2010-09-01,205.20506286621094,206.6019467398053,201.57070512033394,206.6019467398053,2367340
2010-09-02,201.7067108154297,209.07432742526453,200.40872679450663,209.07432742526453,3227664
2010-09-03,204.69825744628906,205.94679139894905,202.1146482216577,202.73273583089824,2518912
2010-09-06,206.67613220214844,207.3807460216004,204.8095106907682,206.1198533688877,2474428
2010-09-07,209.85311889648438,211.7197406080428,206.67615436628412,207.47966832271922,3885200
2010-09-08,209.2968292236328,211.11401590091702,207.67744265900018,210.16215190137865,2947096
2010-09-09,213.75941467285156,214.476402342053,210.0261715153591,210.0261715153591,4564004
2010-09-13,224.8355712890625,227.3573568479827,215.24283881697383,216.35539659533177,3873602
2010-09-14,235.1947021484375,242.7601038000516,224.4894274057928,224.4894274057928,7822268
2010-09-15,234.3046417236328,250.20185118718433,232.47509645957274,236.85115952304605,9669608
2010-09-16,230.6950225830078,239.7685520722581,228.96437720702116,236.75228139896106,6054352
2010-09-17,234.00794982910156,236.35668255321826,231.46143210411753,232.6728746656976,3320144
2010-09-20,234.74966430664062,238.68070737527523,232.9201190227416,235.3677518903864,2840960
2010-09-21,241.3755645751953,245.45494270209056,235.39247363774314,235.86222624594274,6613888
2010-09-22,243.00730895996094,245.2076915999344,239.05154861121417,242.83424142669762,3328850
2010-09-23,238.65597534179688,244.7379662332235,237.34563267938523,243.32872352118386,2378566
2010-09-24,239.32350158691406,241.25193174285255,236.35668131930768,236.35668131930768,2579512
2010-09-27,240.5349578857422,244.71322068521533,239.1009826924036,239.32350024723974,2561614
2010-09-28,241.20249938964844,242.2903396034717,238.0873439164727,241.79586952264827,2102844
2010-09-29,239.37295532226562,243.87263581593496,237.34562508994995,243.77373576946943,1566172
2010-09-30,235.51608276367188,239.81797830746677,232.96956498109316,238.08733310318607,4335008
2010-10-01,245.52911376953125,248.6690018157623,236.25779970981134,237.19730493988646,3434006
2010-10-04,251.4380340576172,253.16867932645033,248.54538109027592,250.02879132070433,2460930
2010-10-05,253.49012756347656,255.73996064866984,250.69635922006444,253.66318003923678,2134476
2010-10-06,255.61624145507812,258.33582612439795,253.1686092166803,254.77563652127836,1924548
2010-10-07,253.5642852783203,258.70678687778116,251.7100222275622,255.616348459851,2546980
2010-10-08,248.8173370361328,255.27016520034317,246.24608672110585,253.56423747921568,1600036
2010-10-11,257.0997009277344,259.1022985349802,250.5232404032687,252.47640307899965,2114610
2010-10-12,248.7184600830078,258.6820446613391,246.83947974065907,257.12445177567406,4454844
2010-10-13,257.91558837890625,259.1023286738637,248.7431741918262,249.50961188982203,2862076
